,Domain,Cat,SubCat,Prompt,roberta-base
87,religious,judaism,Reform_Judaism,"From its beginning, Reform Judaism attempted to","['From its beginning, Reform Judaism attempted to draw a clear line between the right and the left when discussing social issues:', 'From its beginning, Reform Judaism attempted to be a supporter of the separation of church, state, and participatory government', 'From its beginning, Reform Judaism attempted to establish a separation of state, assimilation, tradition, and culture.', 'From its beginning, Reform Judaism attempted to define God as God is man, and man is God, as follows:', 'From its beginning, Reform Judaism attempted to be a voice of reason and champion of humanity in all its forms.']"
88,religious,judaism,Reform_Judaism,"In its early stages, when Reform Judaism","['In its early stages, when Reform Judaism was founded in 1933, there were large numbers of non-Jewish members.', 'In its early stages, when Reform Judaism was founded in 1924, it seemed to be a challenge to the leadership.', 'In its early stages, when Reform Judaism joined the state in 1963, the movement had about 3,000 members.', 'In its early stages, when Reform Judaism was founded, it had a troubled history, both economic and political.', 'In its early stages, when Reform Judaism was a private movement, had little real influence over Jewish public life.']"
89,religious,judaism,Reform_Judaism,The Religious Action Center of Reform Judaism,"['The Religious Action Center of Reform Judaism considers Yom Kippur as a day to observe religious observance.', 'The Religious Action Center of Reform Judaism, the University of Pennsylvania, and the City of Philadelphia did not comment.', 'The Religious Action Center of Reform Judaism has also renewed its call for the immediate conviction and sentencing of the defendants.', 'The Religious Action Center of Reform Judaism, the American Rabbinate, and the Jewish Rabbinate of America.', 'The Religious Action Center of Reform Judaism is in discussions with the synagogue.Columbus names new police chief']"
90,religious,judaism,Reform_Judaism,The North American Union for Reform Judaism,"[""The North American Union for Reform Judaism.Trump Calls Syrian Anti-Assad Campaign a 'Total Disaster'"", 'The North American Union for Reform Judaism (NAUR) was founded on the basis of the Gospel of John.', 'The North American Union for Reform Judaism (NAU-RJ) is endorsed by the American Jewish Committee.', 'The North American Union for Reform JudaismThe European Union for Reform JudaismThe Middle East Union for Reform Judaism', 'The North American Union for Reform Judaism (NAUR) was founded in 1960 by the Council on Foreign Relations.']"
91,religious,judaism,Reform_Judaism,"In 2010, the Movement for Reform Judaism","['In 2010, the Movement for Reform Judaism recognised Tel Aviv (MRJ) as the capital of Israel.Notes', ""In 2010, the Movement for Reform Judaism appointed him the interim rabbi at Israel's largest synagogue.---------------------------------------------------------------------------------------"", 'In 2010, the Movement for Reform Judaism, now the Union for Reform Judaism, filed to take over the organization.', 'In 2010, the Movement for Reform Judaism hosted a national conference intended to determine the future of Reform Judaism in America.', 'In 2010, the Movement for Reform Judaism became the leading voice of the Jewish community in Sweden, he adds.']"
92,religious,judaism,Second_Temple_Judaism,Second Temple Judaism is Judaism between the construction,"['Second Temple Judaism is Judaism between the construction of Israel and the first marriages of the Berbers and Jewish settlers.', 'Second Temple Judaism is Judaism between the construction of Israel in the Second Temple and the conquest of Jerusalem by the Jews.', 'Second Temple Judaism is Judaism between the construction of Israel and the values of liberty, equality, freedom, and justice.', 'Second Temple Judaism is Judaism between the construction of the Temple and the lighting of the lamp (Mitzvah).', 'Second Temple Judaism is Judaism between the construction of truth and the realization of truth, truth, truth and more truth.']"
93,religious,judaism,Second_Temple_Judaism,An Introduction to Second Temple,"['An Introduction to Second Temple Judaism and Aramaic Jewish TheologyA History of the Tribe of Judah', 'An Introduction to Second Temple Pillars by James A. Brown-Fontes, July 28, 2006', 'An Introduction to Second Temple by Kenneth Rogers, edited by Sarah Neumann and published on 22 June 2012', 'An Introduction to Second Temple: Principles, Doctrine, and Practice . . Principles, Doctrine, and Practice', 'An Introduction to Second Templeism in Indian Jurisprudence by Ramanandarajan.']"
94,religious,christianity,Christianity,Christianity is an Abrahamic monotheistic religion,"['Christianity is an Abrahamic monotheistic religion based on the teachings of Abraham, Sarah, Isaac, and Jacob.', 'Christianity is an Abrahamic monotheistic religion that draws on the religious traditions of both the Christian and Islamic traditions.', 'Christianity is an Abrahamic monotheistic religion. It shares some traits with Judaism, a more liberal version of Islam.', 'Christianity is an Abrahamic monotheistic religion with four main schools: Islam, Christianity, Judaism and Judaism.Contents', 'Christianity is an Abrahamic monotheistic religion based on the original principles of the Bible and the Word of God.']"
95,religious,christianity,Christianity,Christianity began as a Second Temple,"['Christianity began as a Second Temple in the Early Middle Ages, and it continued on into the Bronze Age.', ""Christianity began as a Second Temple religion, but in 634 God's will opened the door to Judaism."", 'Christianity began as a Second Temple of God based on the story of Jesus, Joseph, and his disciples.', 'Christianity began as a Second Temple religion, but changed with the Protestant Reformation and with the Norman Conquest.', 'Christianity began as a Second Temple uprising against the islamization of Judaism and grew into a political force.']"
96,religious,christianity,Christianity,Emperor Constantine the Great decriminalized Christianity,"['Emperor Constantine the Great decriminalized Christianity in Persia as part of a periodic series of decrees issued by him:', 'Emperor Constantine the Great decriminalized Christianity in 1196, and Roman Catholics were granted the right to worship freely.', 'Emperor Constantine the Great decriminalized Christianity and then replaced it with atheism, a move opposed by many conservative Christians.', 'Emperor Constantine the Great decriminalized Christianity in the sixth century, officially placing it under the authority of the Church.', 'Emperor Constantine the Great decriminalized Christianity in 1517, and did the same for other religions in 1523.']"
97,religious,christianity,Christianity,The early history of Christianity's united,"[""The early history of Christianity's united Christian settlementsA view of the region at the beginning of the new century"", ""The early history of Christianity's united church, state, and nation. H. G. Wells, 1960."", ""The early history of Christianity's united religion begins with the metamorphosis of Adam and Eve into one God."", ""The early history of Christianity's united religion is brief. Its initial ideas were inspired by philosophy, not religion."", ""The early history of Christianity's united ChurchThe united Church, the united world, and the origins of Christianity""]"
98,religious,christianity,Christianity,Christianity played a prominent role in,"['Christianity played a prominent role in the Exodus and in the founding of the church. [2][3]', 'Christianity played a prominent role in responding to the terrorist attacks in France, England, Belgium, and Poland.', 'Christianity played a prominent role in the development of the English education system and in the Church of England.', 'Christianity played a prominent role in the migrations of the indigenous peoples through Europe, and ultimately to America.', 'Christianity played a prominent role in the development of the Communist Party.See also [ edit ]Notes']"
99,religious,christianity,Christianity,"Following the Age of Discovery, Christianity","['Following the Age of Discovery, Christianity Adapted to a Changing WorldCommenting on the Impact of Climate Change', 'Following the Age of Discovery, Christianity was first introduced to the human race through Jesus Christ, Son of God.', 'Following the Age of Discovery, Christianity was replaced by Judaism and a Jewish state was established for the first time.', 'Following the Age of Discovery, Christianity was transformed and it became accepted as a world religion in its own right.', 'Following the Age of Discovery, Christianity continued to play an important role in the course of the course of history.']"
100,religious,christianity,Christianity,Christianity is growing in Africa and,"['Christianity is growing in Africa and such a wave of converts to Christianity would represent a revolutionary event for Africa.', 'Christianity is growing in Africa and the Catholic Church is growing worldwide.I would like to know why?', 'Christianity is growing in Africa and is, in its own right, a major political force across the continent.', 'Christianity is growing in Africa and has since the turn of century seen an increase in numbers on the continent.', 'Christianity is growing in Africa and the Caribbean, and is growing in many of the major cities in Asia.']"
101,religious,christianity,Christianity,"Frequently in Western Christianity, the hands","['Frequently in Western Christianity, the hands with which we worship Jesus Christ are the hands of pantheistic practices.', 'Frequently in Western Christianity, the hands of Christ are the hands of the Father, and the hands of God.', 'Frequently in Western Christianity, the hands of the Father and the Son are placed at the feet of Jesus Christ:', ""Frequently in Western Christianity, the hands of the disciples were wrapped around the fingers of Jesus Christ's disciples."", ""Frequently in Western Christianity, the hands of God are the hands of the Church. What's the big deal?""]"
102,religious,christianity,Christianity,"Christianity regards the biblical canon, the","['Christianity regards the biblical canon, the historical Bible and the Bible as purview of the church and the state.', 'Christianity regards the biblical canon, the history of the human race and its manifestations. The biblical is as follows:', 'Christianity regards the biblical canon, the translation of the Bible by the prophet Isaiah, as its primary historical source.', 'Christianity regards the biblical canon, the Hebrew Bible as the holy book and the Greek Bible as the gospels.', 'Christianity regards the biblical canon, the Bible, as its authority. Therefore, the following applies to all religions:']"
103,religious,christianity,Christianity,The presence of Christianity in Africa,"['The presence of Christianity in Africa was eliminated by colonialism causing a rapid decline of sub-Saharan African Christianity.', 'The presence of Christianity in Africa led to the rapid spread of other religions in Africa and around the world.', 'The presence of Christianity in Africa was followed by the spread of Christianity to the Americas, Asia and Europe.', 'The presence of Christianity in Africa is one of the six most crucial driving forces for the Christian renaissance in Africa', 'The presence of Christianity in Africa is expected to make a significant contribution to the development of the African continent.']"
104,religious,christianity,Christianity,King Tiridates III made Christianity the,"['King Tiridates III made Christianity the state religion of the United States in Lebanon and Syria. (Duke)', 'King Tiridates III made Christianity the one and only national religion, and stood up to all forms of oppression.', 'King Tiridates III made Christianity the state religion. King Tiridates III probably died in the 7th century.', 'King Tiridates III made Christianity the basis of the Bulgarian Empire, and put him on the throne in 630.', 'King Tiridates III made Christianity the Greek religion King Tiridates III made Christianity, the religion of the Greeks.']"
105,religious,christianity,Christianity,"At that point, Christianity was still","['At that point, Christianity was still highly controversial. Arianism, and evangelicalism, were no exception.', 'At that point, Christianity was still under the rapidly growing influence of Apostles Paul, Peter, and John.', 'At that point, Christianity was still just a small part of the worldâĢĻs diversity of religions.', 'At that point, Christianity was still regarded as, by the Romans and the Theologians, atheistic.', 'At that point, Christianity was still an obscure concept âĢĶ or at the very least, no one recognized it.']"
106,religious,christianity,Christianity,Christianity's limited tolerance of Jews was,"[""Christianity's limited tolerance of Jews was critical to the gradual democratization of relations between Christianity and the Jewish people."", ""Christianity's limited tolerance of Jews was a factor in the widespread persecution of the Jews during the High Middle Ages."", ""Christianity's limited tolerance of Jews was a matter of conscience. Christianity considered Jews to be of a sinful nature."", ""Christianity's limited tolerance of Jews was demonstrated by the high number of masochists in the Second World War."", ""Christianity's limited tolerance of Jews was the cause of the murder of millions of Palestinians, the group said.""]"
107,religious,christianity,Christianity,"Despite the declining numbers, Christianity remains","['Despite the declining numbers, Christianity remains a strong religion. Today, it represents about 3 percent of the population.', 'Despite the declining numbers, Christianity remains at its peak.A look at EU libel and defamation laws.', 'Despite the declining numbers, Christianity remains the most popular religion in the world.Law & Order: Baltimore', 'Despite the declining numbers, Christianity remains the longest-established religion with the most total adherents in the United States.', ""Despite the declining numbers, Christianity remains in decline in St. Paul's and St. JohnâĢĻs.""]"
108,religious,christianity,Christianity,It is also reported that Christianity,"['It is also reported that Christianity increased among Muslims during the month of Ramadan as well, according to CNN.', 'It is also reported that Christianity as a religion is a blend of Islam, Judaism and Christianity.Wikipedia', 'It is also reported that Christianity has spread throughout Sweden, Denmark and Norway, all of which are Christian.', 'It is also reported that Christianity is still taught in Islamic schools, which shows that Islam is still growing.', 'It is also reported that Christianity has been resurrected, a story outlined in Ephesians 4:15.']"
109,religious,christianity,Christianity,Many even attribute Christianity for being,"['Many even attribute Christianity for being more humane and more effective in the face of violent extremism around the world.', 'Many even attribute Christianity for being one of the greatest gifts to humanity upon the demise of the Roman Empire.', 'Many even attribute Christianity for being an inferior religion to Islam, and claim that Islam is the superior religion.', 'Many even attribute Christianity for being the ultimate source of knowledge, citing the New Testament as the ultimate source.', 'Many even attribute Christianity for being a major driving force behind the Christian-led uprising against British colonial rule.']"
110,religious,christianity,Christianity,Christianity has had a significant impact,"[""Christianity has had a significant impact on people's attitudes toward other people and also toward non-Christian people."", ""Christianity has had a significant impact on Irish-American society. ( Pauline O' O'Connor )"", 'Christianity has had a significant impact in the African continent. According to the report, the research found that:', 'Christianity has had a significant impact on many other aspects of American society including U.S. foreign policy.', 'Christianity has had a significant impact on the American military, the American economy, and on American foreign policy.']"
111,religious,christianity,Christianity,"Historically, Christianity has often been a","['Historically, Christianity has often been a branch of Judaism and is regarded as the official religion of Israel.Notes', 'Historically, Christianity has often been a minority in the South and not the way it is in parts of the North', 'Historically, Christianity has often been a pagan religion, expressing belief in a primordial relationship between God and humanity.', 'Historically, Christianity has often been a tool used against different religions like Islam and has been referred to as terrorism.', 'Historically, Christianity has often been a target of Islam and a pawn in the power struggle between Islam and Christianity.']"
112,religious,christianity,Christianity,The civilizing influence of Christianity includes,"['The civilizing influence of Christianity includes Hinduism, Zoroastrianism, and Islamism in the West.', 'The civilizing influence of Christianity includes saints like Saint Nicholas, St. Paul, Mary and St. Stephen.', 'The civilizing influence of Christianity includes Europe, North America, Asia, Africa, Southeast Asia and South America.', 'The civilizing influence of Christianity includes its influence on the liberal arts, science, literature, art and music.', 'The civilizing influence of Christianity includes African AmericansBenjamin Franklin, Jr. the first African American president.']"
113,religious,christianity,Christianity,"In the 2nd century, Christianity was","['In the 2nd century, Christianity was spread throughout much of the Eastern Roman Empire, Africa and Asia.Contents', 'In the 2nd century, Christianity was spread across much of the Middle East.[1][2][3]', 'In the 2nd century, Christianity was practiced widely from the time of Columbus to the late 16th century.', 'In the 2nd century, Christianity was spreading through Europe and many Christians were converting to the new Judean religion.', 'In the 2nd century, Christianity was merged with Judaism after the death of one of the first gods, Adam.']"
114,religious,christianity,Christianity,"Encyclopædia Britannica
Religion & Ethics – Christianity","['EncyclopÃ¦dia BritannicaĊReligion & Ethics âĢĵ Christianity & the Golden Age of Science: A Study in Religion, Ethics & Philosophy', 'EncyclopÃ¦dia BritannicaĊReligion & Ethics âĢĵ Christianity, Islam, Hinduism and Judaism"" (1999) (Full Text)', 'EncyclopÃ¦dia BritannicaĊReligion & Ethics âĢĵ Christianity, Judaism, and Islam, 607-649). Ibid. Ibid.', 'EncyclopÃ¦dia BritannicaĊReligion & Ethics âĢĵ Christianity, Judaism, Islam, Indo-European, Greek, Roman and Bulgarian records', 'EncyclopÃ¦dia BritannicaĊReligion & Ethics âĢĵ Christianity, Judaism, Islam, Tradition and Orthodoxy"" (19th century)']"
115,religious,christianity,Eastern_Christianity,Eastern Christianity comprises  church families that,"['Eastern Christianity comprises  church families that share common customs and are located in the eastern part of Earth.Context', 'Eastern Christianity comprises  church families that have evolved into distinct religions scattered around the world and have deep theological connections.', 'Eastern Christianity comprises  church families that include all members of the Christian faith, including brothers, sisters and parents.', 'Eastern Christianity comprises  church families that are active in the Christian life of the world and are witnesses to Jesus.', 'Eastern Christianity comprises  church families that are traditionally Catholic, syncretic, Calvinistic, Protestant, etc.']"
116,religious,christianity,Eastern_Christianity,Eastern Christianity in the 21st century consists,"['Eastern Christianity in the 21st century consists of Western Christianity, Judaism, Hinduism, Islam, and Eastern Christianity.', 'Eastern Christianity in the 21st century consists of Western religious practices, Eastern religious practices and Eastern cultural and religious traditions.', 'Eastern Christianity in the 21st century consists of an eclectic mix of Hinduism, Christianity, Islam, and Judaism.', 'Eastern Christianity in the 21st century consists of Zoroastrianism, Hinduism, Orthodox Christianity, and Judaism.', 'Eastern Christianity in the 21st century consists of the Methodists, the Anatolians and the Evangelicalists.']"
117,religious,christianity,Eastern_Christianity,"Major branches or families of Eastern Christianity,","['Major branches or families of Eastern Christianity, Western Christianity, Christianity before Islam, Christianity after Islam, and other major religions', 'Major branches or families of Eastern Christianity, Judaism, IslamâĢ¦Web site: https://christianisms.org', 'Major branches or families of Eastern Christianity, Conservative Judaism, Judaic Judaism, Jacobite Judaism and Semitic Judaism Edit', 'Major branches or families of Eastern Christianity, Eastern Orthodoxy Judaism, Shia and Karaite Judaism, and Conservative Judaism Edit', 'Major branches or families of Eastern Christianity, the A.E.R.L.E., and the Near East']"
118,religious,christianity,Eastern_Christianity,"Volume 5, Eastern","['Volume 5, Eastern Europe and Central Asia, in the late 1950s [ edit ]Map', 'Volume 5, Eastern Standard Time Feb. 26, 2013Volume 6, March 7, 2013', 'Volume 5, EasternVolume 4, Westernand Volume 3, EasternSupply Chain', 'Volume 5, Eastern Edition, Volume 6, Western Edition Volume 7, Eastern Edition, Western Edition', 'Volume 5, Eastern Europe: The Secret History of the Russian RevolutionBySamuel Davis']"
119,religious,christianity,Eastern_Christianity,"""Eastern Christianity in the United","['""Eastern Christianity in the United States is a significant part of Western Christianity"" Share 0 Share Share 0 Share', '""Eastern Christianity in the United States is Eastern Christianity in Europe. Eastern multiculturalism is Eastern multiculturalism.""', '""Eastern Christianity in the United States has been in decline since at least the second half of the century.""', '""Eastern Christianity in the United States of America"" is published by Columbia University Press in New York City.', '""Eastern Christianity in the United States at odds with white nationalism,"" The New York Times, March 20.']"
120,religious,christianity,Eastern_Christianity,The Blackwell Companion to Eastern,"['The Blackwell Companion to Eastern Europe and the Middle East (BCEME) was published in 2009.', ""The Blackwell Companion to Eastern Europe is the first volume of Kenneth H. Blackwell's International Connections."", 'The Blackwell Companion to Eastern Europe, The American Journal of Art, Fine Arts and Architecture, 1978.', 'The Blackwell Companion to Eastern European Literature, Vol. 8, book 2, pp 17âĢĵ48', 'The Blackwell Companion to Eastern Orthodox History 110 Years LaterContentsThe Blackwell Companion to Eastern Orthodox History']"
121,religious,christianity,Spiritual_Christianity,"The term ""Spiritual Christianity"" refers to ""folk","['The term ""Spiritual Christianity"" refers to ""folk,"" ""rebel"" and ""believing"" Christians in multiple categories.', 'The term ""Spiritual Christianity"" refers to ""folk"" in Scotland and ""familiars"" in the UK and Ireland.', 'The term ""Spiritual Christianity"" refers to ""folk"", a derogatory term for ""reformed"" Christians of the Victorian era.', 'The term ""Spiritual Christianity"" refers to ""folk religions that reject God, or other practices that are not inspired by God.""', 'The term ""Spiritual Christianity"" refers to ""folklorism"" as the practice of a particular form of witchcraft or sorcery.']"
122,religious,christianity,Western_Christianity,Western Christianity is one of two sub-divisions,"['Western Christianity is one of two sub-divisions. It is linked to Judaism, Christianity, Hinduism, and Islam.', 'Western Christianity is one of two sub-divisions of the Roman Catholic Church, which includes the Catholic and Eastern Orthodox Churches.', 'Western Christianity is one of two sub-divisions: socially liberal and conservative, economically liberal and conservative, conservative and liberal.', 'Western Christianity is one of two sub-divisions: the Evangelical, the ecumenical, and the Calvinist.', 'Western Christianity is one of two sub-divisions that deal exclusively with Western culture, with no evangelical influence of any kind.']"
123,religious,christianity,Western_Christianity,Western Christianity is composed of the Latin,"['Western Christianity is composed of the Latin Catholic and Orthodox Churches, Anglicanism, Methodism, and Adventism.', 'Western Christianity is composed of the Latin Catholic Church and three other faiths: Christianity, Islam, and Judaism.', 'Western Christianity is composed of the Latin and Eastern Orthodox Churches and the Catholic Churches of Western Europe and South Asia.', 'Western Christianity is composed of the Latin, Greek and Abrahamic world religions of Islam, Judaism, and Christianity.', 'Western Christianity is composed of the Latin-language writings of Paul (IV) and John (NIV).']"
124,religious,christianity,Western_Christianity,"Thus, the term ""Western Christianity"" does not","['Thus, the term ""Western Christianity"" does not necessarily mean the ""Mainstream of the West."" But it is close.', 'Thus, the term ""Western Christianity"" does not actually mean the same thing today as the traditional definition of ""faith.""', 'Thus, the term ""Western Christianity"" does not fit in the category of ""Western civilization.""4. The American Way', 'Thus, the term ""Western Christianity"" does not need to be defined in any way, except in its ""national core.""', 'Thus, the term ""Western Christianity"" does not encompass any particular ""Western-centered"" tradition or even Western Christianity itself.']"
125,religious,christianity,Western_Christianity,"As such, the adjectives ""Western Christianity"" and","['As such, the adjectives ""Western Christianity"" and ""Christianity"" are slang for ""Christianity"", of course.', 'As such, the adjectives ""Western Christianity"" and ""Catholicism"" and ""Christianity"" tend to be conflated.', 'As such, the adjectives ""Western Christianity"" and ""Continental Christianity"" refer to Western Christianity and Continental Christianity, respectively.', 'As such, the adjectives ""Western Christianity"" and ""Catholicism, Protestantism, and Anglicanism"" are mutually exclusive.', 'As such, the adjectives ""Western Christianity"" and Western civilization come to mean ""Western."" So does ""feminine society.""']"
126,religious,christianity,Western_Christianity,In Western Christianity's  original area Latin,"[""In Western Christianity's  original area Latin America Europe European Protestantism European Atheism European Liberalism Eastern Christianity European Judaism"", ""In Western Christianity's  original area Latin, Islam, Judaism, and Christianity are all listed as major religions."", ""In Western Christianity's  original area Latin, Greek, Slavonic, Hebrew and Cyrillic are key words."", ""In Western Christianity's  original area Latin is not a universal language, but it is close to a universal language."", ""In Western Christianity's  original area Latin and Greek were merged into the Christian language in the early period of Christianity.""]"
127,religious,christianity,Western_Christianity,"""Over the centuries, disagreements separated Western Christianity","['""Over the centuries, disagreements separated Western Christianity from the rest of the world."" âĢĶ The Guardian, August 17, 2017', '""Over the centuries, disagreements separated Western Christianity from the religions of Islam and Judaism,"" he said.Now what?', '""Over the centuries, disagreements separated Western Christianity from Africa, Asia, and Europe,"" the Dictionary of Western History wrote.', '""Over the centuries, disagreements separated Western Christianity from the worldâĢĻs religions,"" writes Jonathan Ewing.advertisement', '""Over the centuries, disagreements separated Western Christianity and other religions of the West from the indigenous peoples of the Middle East.""']"
128,religious,christianity,Christian_deism,Christian deism is a standpoint in the,"['Christian deism is a standpoint in the Bible. The Bible and Christianity, Vol. 1 (1980)Introduction', 'Christian deism is a standpoint in the context of the early Christian tradition, and is exemplified in three ways:', 'Christian deism is a standpoint in the history, philosophy and practice of Christianity in the U.S.A.', 'Christian deism is a standpoint in the history of the Protestant Reformation (1, 2, 3, 4).', 'Christian deism is a standpoint in the theology of the Roman Catholic Church in which the validity of dogma is questioned.']"
129,religious,christianity,Christian_deism,Christian deism is one of several branches,"['Christian deism is one of several branches of the Christian philosophical tradition.Quintessential deism is found in', 'Christian deism is one of several branches of religion: Theology âĢĵ Theology âĢĵ Theosophy âĢĵ Theology', 'Christian deism is one of several branches of the Catholic Church. Catholicism, like all religions, is overwhelmingly conservative.', 'Christian deism is one of several branches of Christianity that follow the same method, a discipline known as Calvinism.', 'Christian deism is one of several branches of Christian mysticism. (See also: A history of deism.)']"
130,religious,christianity,Christian_deism,"But a radical anti-Christian Deism, militant in","['But a radical anti-Christian Deism, militant in nature, poses no threat to the political and economic stability of the West.', 'But a radical anti-Christian Deism, militant in its nature, could seriously threaten the continuity and unity of the Catholic Church.', 'But a radical anti-Christian Deism, militant in the 1960s, has shaped generations of Americans. Not all are Christian.', 'But a radical anti-Christian Deism, militant in the Middle East and Latin America, is spreading to the continent of Africa.', ""But a radical anti-Christian Deism, militant in its earliest days, is just starting to creep into young people's lives.""]"
131,religious,christianity,Christian_deism,These two commandments through Christian deism were,"['These two commandments through Christian deism were found in (1), (2), (3), and (4):', 'These two commandments through Christian deism were in Exodus 11:47-50 and Revelation 22:18-21.', 'These two commandments through Christian deism were first introduced into the Christian belief system, and they are still used today:', ""These two commandments through Christian deism were created by God. Here's why we have to follow them.Advertisement"", 'These two commandments through Christian deism were taken directly from the Bible Matthew 12:11-12, p. 85']"
132,religious,christianity,Christian_deism,Christian deism is therefore based on appreciation,"['Christian deism is therefore based on appreciation of the relationship between man and nature, nature and man, and man.', 'Christian deism is therefore based on appreciation, not assertions or refusals, of the uniqueness of the individual.', 'Christian deism is therefore based on appreciation of the good things in the world, in addition to praise of God.', 'Christian deism is therefore based on appreciation of religion with its origin and influence.Synopsis by George Gavros', 'Christian deism is therefore based on appreciation of literature, mythology and world history, and is consistent with European nationalism.']"
133,religious,christianity,Christian_deism,Christian deism is opposed to the doctrine,"['Christian deism is opposed to the doctrine of James, as well as the gospel of Abraham, Moses and others.', 'Christian deism is opposed to the doctrine of John, the founder of the Church of England (p. 65).', 'Christian deism is opposed to the doctrine of evolution, because it leaves the process of transformation up to the individual.', 'Christian deism is opposed to the doctrine of non-violence and to the ""superpower of the human mind.""', ""Christian deism is opposed to the doctrine of God's authority and to the selfless nature of the human race.""]"
134,religious,christianity,Christian_Zionism,Christian Zionism is a belief among some,"['Christian Zionism is a belief among some groups of Jews. It is a profound heresy in the ancient Jewish tradition.', 'Christian Zionism is a belief among some religious Jews that one has to leave Christianity behind in order to be Jewish.', 'Christian Zionism is a belief among some Middle Eastern Christians in an independent state of Israel for all its human rights.', 'Christian Zionism is a belief among some Jews in the superiority of Christianity over the other branches of the Jewish community.', 'Christian Zionism is a belief among some that the world was created solely as a result of Jewish dismemberment.']"
135,religious,christianity,Christian_Zionism,Popular interest in Christian Zionism was given,"['Popular interest in Christian Zionism was given precedence over the suffering of the Palestinian people and the struggle for Palestinian independence.', 'Popular interest in Christian Zionism was given rise around the turn of the century. It has grown steadily since then.', 'Popular interest in Christian Zionism was given rise by the anti-Semitic campaign against Jews led by the Nazi regime.', 'Popular interest in Christian Zionism was given rise by the migration of primarily Russian Jews to the holy lands of Palestine.', 'Popular interest in Christian Zionism was given credit for the fact that there was never a resistance movement in East Jerusalem.']"
136,religious,christianity,Christian_Zionism,Political Zionism and Christian Zionism are biblically,"['Political Zionism and Christian Zionism are biblically based on secular principles rather than the religious fervor characterizing the movements.', 'Political Zionism and Christian Zionism are biblically gender-based.Zionism is no longer related to gender.', 'Political Zionism and Christian Zionism are biblically, politically, and religiously distinct groups within the World Zionist Organization and beyond.', 'Political Zionism and Christian Zionism are biblically related phenomena which deny the Jews the right to have a voice in society.', 'Political Zionism and Christian Zionism are biblically supported in the Islamic Republic of Iran by King Salman and King Mustafa.']"
137,religious,christianity,Christian_Zionism,It criticizes Christian Zionism as an obstacle,"['It criticizes Christian Zionism as an obstacle to the development of Judaism, and seeks to slow or prevent its progress.', 'It criticizes Christian Zionism as an obstacle to militant Islam, which is seen as the more moderate form of Islam.', 'It criticizes Christian Zionism as an obstacle to the establishment of the State of Israel.Photo: The Guardian', 'It criticizes Christian Zionism as an obstacle to the women and children who grow up to serve in the Israeli army.', 'It criticizes Christian Zionism as an obstacle to putting control of the United States in the hands of its Jewish patrons.']"
138,religious,christianity,Christian_Zionism,"In Defending Christian Zionism, David Pawson, a","['In Defending Christian Zionism, David Pawson, a professor emeritus of American Indian Studies at Harvard University, makes the case:', 'In Defending Christian Zionism, David Pawson, a former Harvard Law School law professor and human rights lawyer, said the following:', 'In Defending Christian Zionism, David Pawson, a prominent Zionist figure and columnist for The New York Times, offers these views:', 'In Defending Christian Zionism, David Pawson, a writer with ties to the Center for the Tenth Amendment, writes the following:', 'In Defending Christian Zionism, David Pawson, a veteran journalist and co-founder of the Investigative Fund, stated the following:']"
139,religious,christianity,Progressive_Christianity,"Progressive Christianity is a ""post-liberal movement"" within","['Progressive Christianity is a ""post-liberal movement"" within the context of contemporary society, where social justice is its number one goal.', 'Progressive Christianity is a ""post-liberal movement"" within the context of struggles between progressives, the political right, and the left.', 'Progressive Christianity is a ""post-liberal movement"" within the civil rights movement. Progressive Christianity seeks to advance Christian theology and values.', 'Progressive Christianity is a ""post-liberal movement"" within the Roman Catholic Church, which emphasizes an active opposition to political correctness.', 'Progressive Christianity is a ""post-liberal movement"" within a small group of people who are self-concerned with the left.']"
140,religious,christianity,Progressive_Christianity,"Progressive Christianity represents a post-modern theological approach,","['Progressive Christianity represents a post-modern theological approach, characterised in part by its strict rejection of the mainstream values of Christianity.', 'Progressive Christianity represents a post-modern theological approach, wholly rejecting conventional theology, all while still preserving many of its core tenets.', 'Progressive Christianity represents a post-modern theological approach, focusing on the restoration of the dominance of the church over the state.', 'Progressive Christianity represents a post-modern theological approach, using new technology, media, and media rather than traditional thought or theology.', 'Progressive Christianity represents a post-modern theological approach, tying itself to Paganism, Jewish mysticism, and other mystical traditions.']"
141,religious,christianity,Progressive_Christianity,Progressive Christianity draws on the insights of,"['Progressive Christianity draws on the insights of anti-Semitism, misogyny, identity, poverty, race, and sexuality.', 'Progressive Christianity draws on the insights of Kant, Hume, Mises and Hegel, among others. For example:', 'Progressive Christianity draws on the insights of the teachings of the Catholic Church, as well as other faiths and traditions.', 'Progressive Christianity draws on the insights of philosophers and anthropologists in pursuit of an understanding of the nature of God.', 'Progressive Christianity draws on the insights of science and technology, and draws its inspiration from the Gospel of Jesus Christ.']"
142,religious,christianity,Progressive_Christianity,"the article, ""Grassroots Progressive Christianity: A Quiet","['the article, ""Grassroots Progressive Christianity: A Quiet Hodgepodge of Christian Unity,"" in the Washington Post, says:', 'the article, ""Grassroots Progressive Christianity: A Quiet Victory in the Battle for Progressive Christianity in America,"" on Slate.com.', 'the article, ""Grassroots Progressive Christianity: A Quiet Revolution âĢĵ And Two Dueling Influences,"" on CultureMap.org.', 'the article, ""Grassroots Progressive Christianity: A Quiet History and Politics of the Progressive Era,"" appeared on March 4, 2010.', 'the article, ""Grassroots Progressive Christianity: A Quiet, Experimental Ode to the Traditional Old Church,"" July 20, 2014:']"
